City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
473,Jabinyanah,TN,78.8,35.03,10.91,clear sky,maison belmabrouk
477,Belen,TR,80.6,36.49,36.22,few clouds,Varlıbaş Uyku Sarayı
483,Coahuayana,MX,84.2,18.73,-103.68,broken clouds,Hotel Los Arcos
484,Great Bend,US,89.01,38.36,-98.76,broken clouds,Best Western Angus Inn
485,Hammond,US,84.2,41.58,-87.5,clear sky,"Residence Inn by Marriott Chicago Southeast/Hammond, IN"
486,Nizwa,OM,86.47,22.93,57.53,broken clouds,Orient Apartments
490,Pagudpud,PH,77.0,18.56,120.79,scattered clouds,Saud Beach Resort and Hotel - 2
491,Codo,BR,76.35,-4.46,-43.89,broken clouds,Hotel Porto do Sol
492,Salvador,SV,87.8,13.83,-88.92,few clouds,Chico's Ranch
493,Fort-Shevchenko,KZ,83.39,44.51,50.26,few clouds,Oasis hotel Bautino
504,Hatillo,PR,84.0,18.49,-66.83,scattered clouds,Hotel Parador El Buen Cafe
517,San Andres,CO,84.2,12.58,-81.7,overcast clouds,Hotel Arena Blanca
518,Revelstoke,CA,75.2,50.98,-118.2,scattered clouds,Best Western Plus Revelstoke
522,Cabo Rojo,PR,86.0,18.09,-67.15,scattered clouds,Hotel Perichi's
523,Katobu,ID,75.36,-4.94,122.53,scattered clouds,La Ode Husein
524,Berdigestyakh,RU,76.19,62.1,126.7,clear sky,
534,Wattegama,LK,76.37,6.8,81.48,overcast clouds,
539,El Oro,MX,83.25,26.87,-105.85,broken clouds,Munumento A San Francisco De Asis
543,Somerset,US,84.0,40.57,-74.55,scattered clouds,Hilton Garden Inn Bridgewater
546,Banes,CU,75.2,20.96,-75.72,thunderstorm,Hostal Iván y yailet
549,Bucak,TR,78.8,37.46,30.59,clear sky,Elvan Apart
550,Najran,SA,84.2,17.49,44.13,scattered clouds,محمد هادي ال فطيح
551,Chara,RU,77.72,56.91,118.26,broken clouds,
553,Celestun,MX,84.87,20.87,-90.4,broken clouds,Posada Lilia
556,Ewa Beach,US,87.8,21.32,-158.01,broken clouds,Hampton Inn & Suites Oahu/Kapolei
558,Cacoal,BR,77.7,-11.44,-61.45,clear sky,Hotel BR 364
561,Yankton,US,82.4,42.87,-97.4,clear sky,Holiday Inn Express & Suites Yankton
563,Afua,BR,76.39,-0.16,-50.39,overcast clouds,Hotel Dias
565,Vanimo,PG,79.2,-2.67,141.3,overcast clouds,Vahmoneh Lodge Vanimo
566,Balabac,PH,81.86,7.99,117.06,overcast clouds,Sing and Swing Lodge
568,Porto Nacional,BR,82.4,-10.71,-48.42,few clouds,Vila Real Hotel
569,Idtig,PH,76.77,6.8,124.77,overcast clouds,GSKP GYMNASIUM
570,Batagay,RU,76.95,67.63,134.63,broken clouds,
